order_id,customer_id,product_id,product_name,product_category,price,quantity,order_date,delivery_date,status,payment_type,country
1,1039,P103,Desk,Furniture,443,2,2023-10-14 01:55:21,2023-10-25 01:55:21,Shipped,Debit Card,Canada
2,1085,P102,Tablet,Furniture,373,2,2023-03-05 05:17:30,2023-03-07 05:17:30,Pending,Cash,Australia
3,1041,P106,Mouse,Accessories,1428,2,2023-02-23 10:13:09,2023-03-04 10:13:09,Returned,Credit Card,Canada
4,1047,P101,Keyboard,Accessories,943,4,2023-10-19 14:22:18,2023-10-24 14:22:18,Shipped,Debit Card,France
5,1008,P106,Desk,Electronics,356,5,2023-07-06 03:33:28,2023-07-19 03:33:28,Cancelled,Debit Card,USA
6,1087,P107,Desk,Electronics,677,2,2023-04-05 01:53:31,2023-04-17 01:53:31,Cancelled,PayPal,UK
7,1053,P105,Desk,Electronics,377,3,2023-06-21 06:46:32,2023-07-02 06:46:32,Returned,PayPal,Australia
8,1029,P103,Monitor,Electronics,1990,5,2023-04-04 18:52:42,2023-04-14 18:52:42,Shipped,Cash,Germany
9,1033,P101,Mouse,Accessories,71,2,2023-10-18 06:11:14,2023-10-28 06:11:14,Pending,PayPal,UK
10,1010,P110,Keyboard,Electronics,395,5,2023-08-18 12:46:52,2023-08-25 12:46:52,Pending,PayPal,USA
11,1051,P102,Headphones,Accessories,988,5,2023-03-09 01:39:31,2023-03-14 01:39:31,Shipped,PayPal,USA
12,1088,P101,Headphones,Accessories,1336,5,2023-09-06 04:09:04,2023-09-10 04:09:04,Returned,Debit Card,USA
13,1078,P102,Mouse,Accessories,965,4,2023-12-20 19:46:44,2023-12-22 19:46:44,Returned,Cash,Canada
14,1021,P102,Laptop,Furniture,274,2,2023-11-08 16:29:56,2023-11-20 16:29:56,Cancelled,Cash,UK
15,1076,P108,Phone,Electronics,1815,5,2023-04-15 05:48:20,2023-04-21 05:48:20,Shipped,Cash,Australia
16,1035,P103,Headphones,Furniture,1288,3,2023-03-15 04:58:02,2023-03-25 04:58:02,Cancelled,Cash,USA
17,1081,P104,Camera,Accessories,494,5,2023-04-09 13:54:53,2023-04-18 13:54:53,Returned,PayPal,Canada
18,1091,P108,Mouse,Furniture,1409,4,2023-05-24 16:18:05,2023-05-28 16:18:05,Pending,Debit Card,Germany
19,1045,P108,Headphones,Furniture,1354,5,2023-12-19 01:48:47,2023-12-28 01:48:47,Cancelled,PayPal,France
20,1096,P103,Mouse,Furniture,1042,4,2023-01-31 21:40:57,2023-02-13 21:40:57,Returned,Credit Card,USA
21,1100,P102,Tablet,Accessories,585,3,2023-08-16 04:34:42,2023-08-21 04:34:42,Pending,PayPal,UK
22,1095,P108,Keyboard,Furniture,1806,3,2023-04-17 10:08:15,2023-04-21 10:08:15,Cancelled,PayPal,Germany
23,1080,P109,Mouse,Furniture,1199,2,2023-07-22 03:10:48,2023-08-02 03:10:48,Cancelled,Credit Card,Canada
24,1043,P101,Desk,Furniture,1816,3,2023-06-14 00:11:04,2023-06-20 00:11:04,Returned,Debit Card,France
25,1007,P109,Tablet,Furniture,808,4,2023-02-27 14:13:55,2023-03-13 14:13:55,Cancelled,Debit Card,USA
